Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.9162788391113281,0.9093582034111023,0.20019181072711945,0.20876015722751617
1,0.9416391253471375,0.9572047591209412,0.13688558340072632,0.09707509726285934
2,0.951767086982727,0.9480451941490173,0.11274338513612747,0.11363773047924042
3,0.9560306668281555,0.9442422986030579,0.10210593044757843,0.12998878955841064
4,0.9594058990478516,0.9497539401054382,0.09499023854732513,0.1160479262471199
5,0.9626330137252808,0.9736650586128235,0.08679839968681335,0.057596221566200256
6,0.9645062685012817,0.9571825861930847,0.08219282329082489,0.09627798199653625
7,0.9671540260314941,0.9475405216217041,0.07618027180433273,0.11452683806419373
8,0.9689683318138123,0.9633688926696777,0.07334434241056442,0.07804553210735321
9,0.968954861164093,0.9515774250030518,0.07301153987646103,0.10576702654361725
10,0.9706131219863892,0.9750374555587769,0.0703098475933075,0.053102727979421616
11,0.971114993095398,0.9519491195678711,0.06777489185333252,0.10819292068481445
12,0.9730028510093689,0.9806914925575256,0.06389079242944717,0.041336674243211746
13,0.9739869236946106,0.9819419980049133,0.06168893352150917,0.038166653364896774
14,0.9735628962516785,0.9828671216964722,0.06274054199457169,0.03617477044463158
15,0.9739223718643188,0.977881669998169,0.061750300228595734,0.04772673919796944
16,0.9744750261306763,0.9772590398788452,0.0604763962328434,0.04925227165222168
17,0.9751446843147278,0.970390260219574,0.05898516997694969,0.0656239464879036
18,0.9762392640113831,0.9850860238075256,0.05595555528998375,0.0316205695271492
19,0.9749601483345032,0.9726763963699341,0.060240160673856735,0.05933831259608269
2
